Date_Time (LST/LDT), Event, Speed (knots)
2024-02-06 12:54 AM, slack,-
2024-02-06 04:24 AM, ebb,-4.9
2024-02-06 07:18 AM, slack,-
2024-02-06 09:30 AM, flood,2.8
2024-02-06 11:54 AM, slack,-
2024-02-06 02:48 PM, ebb,-7.1
2024-02-06 06:42 PM, slack,-
2024-02-06 10:00 PM, flood,6.1
2024-02-07 01:36 AM, slack,-
2024-02-07 05:00 AM, ebb,-5.4
2024-02-07 08:06 AM, slack,-
2024-02-07 10:18 AM, flood,3.0
2024-02-07 12:42 PM, slack,-
2024-02-07 03:42 PM, ebb,-7.3
2024-02-07 07:24 PM, slack,-
2024-02-07 10:36 PM, flood,6.7
2024-02-08 02:18 AM, slack,-
2024-02-08 05:24 AM, ebb,-5.9
2024-02-08 08:54 AM, slack,-
2024-02-08 11:06 AM, flood,3.4
2024-02-08 01:36 PM, slack,-
2024-02-08 04:30 PM, ebb,-7.3
2024-02-08 08:12 PM, slack,-
2024-02-08 11:12 PM, flood,6.9
2024-02-09 02:54 AM, slack,-
2024-02-09 05:48 AM, ebb,-6.4
2024-02-09 09:36 AM, slack,-
2024-02-09 11:48 AM, flood,3.9
2024-02-09 02:36 PM, slack,-
2024-02-09 05:24 PM, ebb,-7.1
2024-02-09 09:00 PM, slack,-
2024-02-09 11:54 PM, flood,6.8
2024-02-10 03:30 AM, slack,-
2024-02-10 06:24 AM, ebb,-6.8
2024-02-10 10:12 AM, slack,-
2024-02-10 12:36 PM, flood,4.3
2024-02-10 03:36 PM, slack,-
2024-02-10 06:18 PM, ebb,-6.9
2024-02-10 09:54 PM, slack,-
2024-02-11 12:42 AM, flood,6.5
2024-02-11 04:12 AM, slack,-
2024-02-11 07:00 AM, ebb,-7.1
2024-02-11 10:54 AM, slack,-
2024-02-11 01:30 PM, flood,4.6
2024-02-11 04:30 PM, slack,-
2024-02-11 07:18 PM, ebb,-6.6
2024-02-11 10:48 PM, slack,-
2024-02-12 01:36 AM, flood,6.2
2024-02-12 04:54 AM, slack,-
2024-02-12 07:48 AM, ebb,-7.3
2024-02-12 11:42 AM, slack,-
2024-02-12 02:18 PM, flood,4.7
2024-02-12 05:24 PM, slack,-
2024-02-12 08:12 PM, ebb,-6.4
2024-02-12 11:42 PM, slack,-
2024-02-13 02:30 AM, flood,5.9
2024-02-13 05:42 AM, slack,-
2024-02-13 08:36 AM, ebb,-7.1
2024-02-13 12:30 PM, slack,-
2024-02-13 03:06 PM, flood,4.5
2024-02-13 06:24 PM, slack,-
2024-02-13 09:06 PM, ebb,-6.0
2024-02-14 12:42 AM, slack,-
2024-02-14 03:18 AM, flood,5.5
2024-02-14 06:36 AM, slack,-
2024-02-14 09:24 AM, ebb,-6.8
2024-02-14 01:30 PM, slack,-
2024-02-14 04:06 PM, flood,4.0
2024-02-14 07:24 PM, slack,-
2024-02-14 10:12 PM, ebb,-5.2
2024-02-15 01:42 AM, slack,-
2024-02-15 04:18 AM, flood,5.0
2024-02-15 07:30 AM, slack,-
2024-02-15 10:12 AM, ebb,-6.4
2024-02-15 02:30 PM, slack,-
2024-02-15 06:00 PM, flood,3.6
2024-02-15 08:30 PM, slack,-
2024-02-15 11:48 PM, ebb,-4.6
2024-02-16 02:48 AM, slack,-
2024-02-16 05:24 AM, flood,4.4
2024-02-16 08:24 AM, slack,-
2024-02-16 11:18 AM, ebb,-6.0
2024-02-16 03:36 PM, slack,-
2024-02-16 07:24 PM, flood,3.8
2024-02-16 09:48 PM, slack,-
2024-02-17 01:18 AM, ebb,-4.5
2024-02-17 03:54 AM, slack,-
2024-02-17 06:36 AM, flood,3.8
2024-02-17 09:24 AM, slack,-
2024-02-17 12:36 PM, ebb,-5.8
2024-02-17 04:42 PM, slack,-
2024-02-17 08:36 PM, flood,4.5
2024-02-17 11:06 PM, slack,-
2024-02-18 02:30 AM, ebb,-4.8
2024-02-18 05:06 AM, slack,-
2024-02-18 07:54 AM, flood,3.4
2024-02-18 10:24 AM, slack,-
2024-02-18 01:48 PM, ebb,-5.8
2024-02-18 05:36 PM, slack,-
2024-02-18 09:36 PM, flood,5.2
2024-02-19 12:06 AM, slack,-
2024-02-19 03:30 AM, ebb,-5.4
2024-02-19 06:12 AM, slack,-
2024-02-19 09:12 AM, flood,3.4
2024-02-19 11:18 AM, slack,-
2024-02-19 02:54 PM, ebb,-5.8
2024-02-19 06:24 PM, slack,-
2024-02-19 10:18 PM, flood,5.7
2024-02-20 12:54 AM, slack,-
2024-02-20 04:18 AM, ebb,-5.9
2024-02-20 07:12 AM, slack,-
2024-02-20 10:12 AM, flood,3.5
2024-02-20 12:12 PM, slack,-
2024-02-20 03:42 PM, ebb,-5.8
2024-02-20 07:06 PM, slack,-
2024-02-20 11:00 PM, flood,5.8
2024-02-21 01:36 AM, slack,-
2024-02-21 05:06 AM, ebb,-6.2
2024-02-21 08:00 AM, slack,-
2024-02-21 10:54 AM, flood,3.7
2024-02-21 01:06 PM, slack,-
2024-02-21 04:24 PM, ebb,-5.5
2024-02-21 07:48 PM, slack,-
2024-02-21 11:30 PM, flood,5.4
2024-02-22 02:06 AM, slack,-
2024-02-22 05:42 AM, ebb,-6.3
2024-02-22 08:42 AM, slack,-
2024-02-22 11:30 AM, flood,3.8
2024-02-22 01:54 PM, slack,-
2024-02-22 05:00 PM, ebb,-5.3
2024-02-22 08:24 PM, slack,-
2024-02-22 11:54 PM, flood,4.9
2024-02-23 02:36 AM, slack,-
2024-02-23 06:06 AM, ebb,-6.1
2024-02-23 09:18 AM, slack,-
2024-02-23 12:06 PM, flood,4.0
2024-02-23 02:42 PM, slack,-
2024-02-23 05:30 PM, ebb,-5.1
2024-02-23 09:06 PM, slack,-
2024-02-24 12:00 AM, flood,4.5
2024-02-24 03:06 AM, slack,-
2024-02-24 06:18 AM, ebb,-6.0
2024-02-24 09:48 AM, slack,-
2024-02-24 12:24 PM, flood,4.1
2024-02-24 03:30 PM, slack,-
2024-02-24 06:12 PM, ebb,-5.0
2024-02-24 09:54 PM, slack,-
2024-02-25 12:24 AM, flood,4.3
2024-02-25 03:36 AM, slack,-
2024-02-25 06:30 AM, ebb,-6.0
2024-02-25 10:18 AM, slack,-
2024-02-25 12:48 PM, flood,4.3
2024-02-25 04:12 PM, slack,-
2024-02-25 06:54 PM, ebb,-5.1
2024-02-25 10:36 PM, slack,-
2024-02-26 01:00 AM, flood,4.3
2024-02-26 04:12 AM, slack,-
2024-02-26 07:00 AM, ebb,-6.1
2024-02-26 10:54 AM, slack,-
2024-02-26 01:24 PM, flood,4.4
2024-02-26 04:48 PM, slack,-
2024-02-26 07:36 PM, ebb,-5.2
2024-02-26 11:18 PM, slack,-
2024-02-27 01:48 AM, flood,4.3
2024-02-27 04:54 AM, slack,-
2024-02-27 07:36 AM, ebb,-6.2
2024-02-27 11:30 AM, slack,-
2024-02-27 02:00 PM, flood,4.4
2024-02-27 05:30 PM, slack,-
2024-02-27 08:18 PM, ebb,-5.2
2024-02-28 12:06 AM, slack,-
2024-02-28 02:30 AM, flood,4.4
2024-02-28 05:30 AM, slack,-
2024-02-28 08:18 AM, ebb,-6.3
2024-02-28 12:06 PM, slack,-
2024-02-28 02:42 PM, flood,4.4
2024-02-28 06:12 PM, slack,-
2024-02-28 09:00 PM, ebb,-5.0
2024-02-29 12:54 AM, slack,-
2024-02-29 03:18 AM, flood,4.2
2024-02-29 06:12 AM, slack,-
2024-02-29 09:00 AM, ebb,-6.3
2024-02-29 12:54 PM, slack,-
2024-02-29 03:24 PM, flood,4.2
2024-02-29 07:06 PM, slack,-
2024-02-29 09:48 PM, ebb,-4.4
2024-03-01 01:48 AM, slack,-
2024-03-01 04:00 AM, flood,3.7
2024-03-01 06:54 AM, slack,-
2024-03-01 09:48 AM, ebb,-6.3
2024-03-01 01:42 PM, slack,-
2024-03-01 04:12 PM, flood,4.0
2024-03-01 08:12 PM, slack,-
2024-03-01 10:48 PM, ebb,-3.7
2024-03-02 02:48 AM, slack,-
2024-03-02 04:54 AM, flood,3.1
2024-03-02 07:42 AM, slack,-
2024-03-02 10:42 AM, ebb,-6.1
2024-03-02 02:36 PM, slack,-
2024-03-02 05:12 PM, flood,4.0
2024-03-02 09:24 PM, slack,-
2024-03-03 12:54 AM, ebb,-3.4
2024-03-03 04:00 AM, slack,-
2024-03-03 05:54 AM, flood,2.4
2024-03-03 08:24 AM, slack,-
2024-03-03 11:36 AM, ebb,-6.1
2024-03-03 03:30 PM, slack,-
2024-03-03 06:18 PM, flood,4.4
2024-03-03 10:36 PM, slack,-
2024-03-04 02:18 AM, ebb,-3.8
2024-03-04 05:12 AM, slack,-
2024-03-04 07:00 AM, flood,2.0
2024-03-04 09:24 AM, slack,-
2024-03-04 12:30 PM, ebb,-6.1
2024-03-04 04:24 PM, slack,-
2024-03-04 07:24 PM, flood,4.9
2024-03-04 11:30 PM, slack,-
2024-03-05 03:18 AM, ebb,-4.5
2024-03-05 06:12 AM, slack,-
2024-03-05 08:06 AM, flood,2.0
2024-03-05 10:30 AM, slack,-
2024-03-05 01:30 PM, ebb,-6.2
2024-03-05 05:18 PM, slack,-
2024-03-05 08:24 PM, flood,5.4
2024-03-06 12:18 AM, slack,-
2024-03-06 04:00 AM, ebb,-5.3
2024-03-06 07:00 AM, slack,-
2024-03-06 09:18 AM, flood,2.5
2024-03-06 11:36 AM, slack,-
2024-03-06 02:24 PM, ebb,-6.2
2024-03-06 06:12 PM, slack,-
2024-03-06 09:24 PM, flood,5.9
2024-03-07 01:00 AM, slack,-
2024-03-07 04:24 AM, ebb,-6.0
2024-03-07 07:42 AM, slack,-
2024-03-07 10:12 AM, flood,3.3
2024-03-07 12:36 PM, slack,-
2024-03-07 03:24 PM, ebb,-6.3
2024-03-07 07:00 PM, slack,-
2024-03-07 10:06 PM, flood,6.2
2024-03-08 01:36 AM, slack,-
2024-03-08 04:42 AM, ebb,-6.6
2024-03-08 08:24 AM, slack,-
2024-03-08 11:00 AM, flood,4.1
2024-03-08 01:36 PM, slack,-
2024-03-08 04:24 PM, ebb,-6.4
2024-03-08 07:54 PM, slack,-
2024-03-08 10:54 PM, flood,6.2
2024-03-09 02:12 AM, slack,-
2024-03-09 05:12 AM, ebb,-7.1
2024-03-09 09:00 AM, slack,-
2024-03-09 11:42 AM, flood,4.7
2024-03-09 02:36 PM, slack,-
2024-03-09 05:18 PM, ebb,-6.5
2024-03-09 08:48 PM, slack,-
2024-03-09 11:36 PM, flood,6.2
2024-03-10 04:00 AM, slack,-
2024-03-10 06:48 AM, ebb,-7.4
2024-03-10 10:42 AM, slack,-
2024-03-10 01:24 PM, flood,5.1
2024-03-10 04:30 PM, slack,-
2024-03-10 07:12 PM, ebb,-6.6
2024-03-10 10:48 PM, slack,-
2024-03-11 01:30 AM, flood,6.1
2024-03-11 04:42 AM, slack,-
2024-03-11 07:36 AM, ebb,-7.5
2024-03-11 11:30 AM, slack,-
2024-03-11 02:18 PM, flood,5.2
2024-03-11 05:24 PM, slack,-
2024-03-11 08:12 PM, ebb,-6.5
2024-03-11 11:42 PM, slack,-
2024-03-12 02:24 AM, flood,6.0
2024-03-12 05:30 AM, slack,-
2024-03-12 08:24 AM, ebb,-7.5
2024-03-12 12:18 PM, slack,-
2024-03-12 03:12 PM, flood,5.1
2024-03-12 06:18 PM, slack,-
2024-03-12 09:12 PM, ebb,-6.3
2024-03-13 12:30 AM, slack,-
2024-03-13 03:12 AM, flood,5.8
2024-03-13 06:24 AM, slack,-
2024-03-13 09:12 AM, ebb,-7.4
2024-03-13 01:06 PM, slack,-
2024-03-13 04:00 PM, flood,4.8
2024-03-13 07:12 PM, slack,-
2024-03-13 10:06 PM, ebb,-5.9
2024-03-14 01:30 AM, slack,-
2024-03-14 04:06 AM, flood,5.4
2024-03-14 07:12 AM, slack,-
2024-03-14 10:00 AM, ebb,-7.1
2024-03-14 02:06 PM, slack,-
2024-03-14 05:06 PM, flood,4.4
2024-03-14 08:18 PM, slack,-
2024-03-14 11:12 PM, ebb,-5.1
2024-03-15 02:30 AM, slack,-
2024-03-15 04:54 AM, flood,4.7
2024-03-15 08:00 AM, slack,-
2024-03-15 10:48 AM, ebb,-6.6
2024-03-15 03:00 PM, slack,-
2024-03-15 06:48 PM, flood,4.2
2024-03-15 09:24 PM, slack,-
2024-03-16 12:48 AM, ebb,-4.6
2024-03-16 03:30 AM, slack,-
2024-03-16 05:54 AM, flood,3.7
2024-03-16 08:54 AM, slack,-
2024-03-16 11:42 AM, ebb,-6.0
2024-03-16 04:00 PM, slack,-
2024-03-16 08:00 PM, flood,4.3
2024-03-16 10:30 PM, slack,-
2024-03-17 02:06 AM, ebb,-4.6
2024-03-17 04:42 AM, slack,-
2024-03-17 07:12 AM, flood,2.9
2024-03-17 09:48 AM, slack,-
2024-03-17 12:48 PM, ebb,-5.3
2024-03-17 05:00 PM, slack,-
2024-03-17 09:06 PM, flood,4.5
2024-03-17 11:36 PM, slack,-
2024-03-18 03:12 AM, ebb,-4.9
2024-03-18 06:00 AM, slack,-
2024-03-18 08:42 AM, flood,2.5
2024-03-18 10:54 AM, slack,-
2024-03-18 02:06 PM, ebb,-4.8
2024-03-18 05:54 PM, slack,-
2024-03-18 10:00 PM, flood,4.8
2024-03-19 12:30 AM, slack,-
2024-03-19 04:06 AM, ebb,-5.4
2024-03-19 07:06 AM, slack,-
2024-03-19 10:00 AM, flood,2.7
2024-03-19 12:00 PM, slack,-
2024-03-19 03:24 PM, ebb,-4.5
2024-03-19 06:48 PM, slack,-
2024-03-19 10:48 PM, flood,4.8
2024-03-20 01:12 AM, slack,-
2024-03-20 04:54 AM, ebb,-5.9
2024-03-20 07:54 AM, slack,-
2024-03-20 11:00 AM, flood,3.2
2024-03-20 01:00 PM, slack,-
2024-03-20 04:36 PM, ebb,-4.5
2024-03-20 07:30 PM, slack,-
2024-03-20 11:24 PM, flood,4.6
2024-03-21 01:48 AM, slack,-
2024-03-21 05:30 AM, ebb,-6.1
2024-03-21 08:30 AM, slack,-
2024-03-21 11:42 AM, flood,3.7
2024-03-21 01:54 PM, slack,-
2024-03-21 05:24 PM, ebb,-4.5
2024-03-21 08:18 PM, slack,-
2024-03-21 11:54 PM, flood,4.3
2024-03-22 02:18 AM, slack,-
2024-03-22 06:00 AM, ebb,-6.1
2024-03-22 09:06 AM, slack,-
2024-03-22 12:12 PM, flood,4.1
2024-03-22 02:42 PM, slack,-
2024-03-22 06:00 PM, ebb,-4.7
2024-03-22 09:06 PM, slack,-
2024-03-23 12:06 AM, flood,4.0
2024-03-23 02:48 AM, slack,-
2024-03-23 06:06 AM, ebb,-6.0
2024-03-23 09:36 AM, slack,-
2024-03-23 12:36 PM, flood,4.4
2024-03-23 03:24 PM, slack,-
2024-03-23 06:30 PM, ebb,-4.9
2024-03-23 09:48 PM, slack,-
2024-03-24 12:24 AM, flood,4.1
2024-03-24 03:24 AM, slack,-
2024-03-24 06:18 AM, ebb,-6.1
2024-03-24 10:06 AM, slack,-
2024-03-24 12:48 PM, flood,4.6
2024-03-24 04:06 PM, slack,-
2024-03-24 07:00 PM, ebb,-5.1
2024-03-24 10:30 PM, slack,-
2024-03-25 12:54 AM, flood,4.2
2024-03-25 04:00 AM, slack,-
2024-03-25 06:48 AM, ebb,-6.3
2024-03-25 10:36 AM, slack,-
2024-03-25 01:12 PM, flood,4.7
2024-03-25 04:42 PM, slack,-
2024-03-25 07:36 PM, ebb,-5.3
2024-03-25 11:12 PM, slack,-
2024-03-26 01:36 AM, flood,4.4
2024-03-26 04:42 AM, slack,-
2024-03-26 07:24 AM, ebb,-6.5
2024-03-26 11:12 AM, slack,-
2024-03-26 01:48 PM, flood,4.8
2024-03-26 05:24 PM, slack,-
2024-03-26 08:18 PM, ebb,-5.4
2024-03-26 11:54 PM, slack,-
2024-03-27 02:24 AM, flood,4.6
2024-03-27 05:18 AM, slack,-
2024-03-27 08:06 AM, ebb,-6.7
2024-03-27 11:54 AM, slack,-
2024-03-27 02:30 PM, flood,4.9
2024-03-27 06:12 PM, slack,-
2024-03-27 09:00 PM, ebb,-5.3
2024-03-28 12:42 AM, slack,-
2024-03-28 03:06 AM, flood,4.5
2024-03-28 06:00 AM, slack,-
2024-03-28 08:54 AM, ebb,-7.0
2024-03-28 12:36 PM, slack,-
2024-03-28 03:18 PM, flood,5.0
2024-03-28 07:00 PM, slack,-
2024-03-28 09:42 PM, ebb,-5.0
