,Dive_Site,Date,Day_of_Week,Time,Event,Current_Speed_(knots),Height (cm),Height (ft),Current_Station_Name,Current_Station_ID,Tide_Station_Name,Tide_Station_ID,Latitude,Longitude,Moon Illuminated
43,Alki,1/2/24,Tuesday,2:12:00,Low,,58,1.89,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.67
44,Alki,1/2/24,Tuesday,4:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1515,,,47.5887069,-122.3800092,0.67
45,Alki,1/2/24,Tuesday,7:06:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1516,,,47.5887069,-122.3800092,0.67
46,Alki,1/2/24,Tuesday,9:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1517,,,47.5887069,-122.3800092,0.67
47,Alki,1/2/24,Tuesday,9:27:00,High,,361,11.84,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.67
48,Alki,1/2/24,Tuesday,13:12:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1518,,,47.5887069,-122.3800092,0.67
49,Alki,1/2/24,Tuesday,16:11:00,Low,,155,5.09,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.67
50,Alki,1/2/24,Tuesday,16:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1519,,,47.5887069,-122.3800092,0.67
51,Alki,1/2/24,Tuesday,19:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1520,,,47.5887069,-122.3800092,0.67
52,Alki,1/2/24,Tuesday,20:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1521,,,47.5887069,-122.3800092,0.67
53,Alki,1/2/24,Tuesday,21:07:00,High,,230,7.54,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.67
88,Alki,1/3/24,Wednesday,2:12:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG1522,,,47.5887069,-122.3800092,0.58
89,Alki,1/3/24,Wednesday,2:52:00,Low,,102,3.34,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.58
90,Alki,1/3/24,Wednesday,5:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1523,,,47.5887069,-122.3800092,0.58
91,Alki,1/3/24,Wednesday,8:12:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1524,,,47.5887069,-122.3800092,0.58
92,Alki,1/3/24,Wednesday,9:59:00,High,,356,11.68,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.58
93,Alki,1/3/24,Wednesday,10:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1525,,,47.5887069,-122.3800092,0.58
94,Alki,1/3/24,Wednesday,14:30:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG1526,,,47.5887069,-122.3800092,0.58
95,Alki,1/3/24,Wednesday,17:00:00,Low,,125,4.09,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.58
96,Alki,1/3/24,Wednesday,20:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1527,,,47.5887069,-122.3800092,0.58
97,Alki,1/3/24,Wednesday,22:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1528,,,47.5887069,-122.3800092,0.58
98,Alki,1/3/24,Wednesday,22:32:00,High,,223,7.33,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.58
134,Alki,1/4/24,Thursday,3:00:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1529,,,47.5887069,-122.3800092,0.48
135,Alki,1/4/24,Thursday,3:35:00,Low,,150,4.93,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
136,Alki,1/4/24,Thursday,5:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1530,,,47.5887069,-122.3800092,0.48
137,Alki,1/4/24,Thursday,8:54:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1531,,,47.5887069,-122.3800092,0.48
138,Alki,1/4/24,Thursday,10:31:00,High,,350,11.48,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
139,Alki,1/4/24,Thursday,10:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1532,,,47.5887069,-122.3800092,0.48
140,Alki,1/4/24,Thursday,15:30:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG1533,,,47.5887069,-122.3800092,0.48
141,Alki,1/4/24,Thursday,17:46:00,Low,,91,2.99,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
142,Alki,1/4/24,Thursday,20:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1534,,,47.5887069,-122.3800092,0.48
174,Alki,1/5/24,Friday,0:15:00,High,,234,7.67,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.39
175,Alki,1/5/24,Friday,0:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1535,,,47.5887069,-122.3800092,0.39
176,Alki,1/5/24,Friday,3:54:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG1536,,,47.5887069,-122.3800092,0.39
177,Alki,1/5/24,Friday,4:30:00,Low,,198,6.51,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.39
178,Alki,1/5/24,Friday,5:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1537,,,47.5887069,-122.3800092,0.39
179,Alki,1/5/24,Friday,9:24:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1538,,,47.5887069,-122.3800092,0.39
180,Alki,1/5/24,Friday,11:05:00,High,,343,11.25,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.39
181,Alki,1/5/24,Friday,11:18:00, slack,0,,,HARBOR ISLAND WEST,PUG1539,,,47.5887069,-122.3800092,0.39
182,Alki,1/5/24,Friday,16:18:00, ebb,-0.5,,,HARBOR ISLAND WEST,PUG1540,,,47.5887069,-122.3800092,0.39
183,Alki,1/5/24,Friday,18:30:00,Low,,55,1.82,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.39
184,Alki,1/5/24,Friday,20:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1541,,,47.5887069,-122.3800092,0.39
185,Alki,1/5/24,Friday,22:54:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1542,,,47.5887069,-122.3800092,0.39
219,Alki,1/6/24,Saturday,2:08:00,High,,263,8.62,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.29
220,Alki,1/6/24,Saturday,3:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1543,,,47.5887069,-122.3800092,0.29
221,Alki,1/6/24,Saturday,5:46:00,Low,,240,7.86,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.29
222,Alki,1/6/24,Saturday,6:18:00, slack,0,,,HARBOR ISLAND WEST,PUG1544,,,47.5887069,-122.3800092,0.29
223,Alki,1/6/24,Saturday,9:06:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1545,,,47.5887069,-122.3800092,0.29
224,Alki,1/6/24,Saturday,11:40:00,High,,337,11.05,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.29
225,Alki,1/6/24,Saturday,11:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1546,,,47.5887069,-122.3800092,0.29
226,Alki,1/6/24,Saturday,17:12:00, ebb,-0.6,,,HARBOR ISLAND WEST,PUG1547,,,47.5887069,-122.3800092,0.29
227,Alki,1/6/24,Saturday,19:12:00,Low,,20,0.66,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.29
228,Alki,1/6/24,Saturday,21:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1548,,,47.5887069,-122.3800092,0.29
229,Alki,1/6/24,Saturday,23:30:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1549,,,47.5887069,-122.3800092,0.29
263,Alki,1/7/24,Sunday,3:24:00,High,,299,9.8,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
264,Alki,1/7/24,Sunday,4:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1550,,,47.5887069,-122.3800092,0.2
265,Alki,1/7/24,Sunday,7:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1551,,,47.5887069,-122.3800092,0.2
266,Alki,1/7/24,Sunday,7:16:00,Low,,266,8.73,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
267,Alki,1/7/24,Sunday,9:06:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1552,,,47.5887069,-122.3800092,0.2
268,Alki,1/7/24,Sunday,12:18:00, slack,0,,,HARBOR ISLAND WEST,PUG1553,,,47.5887069,-122.3800092,0.2
269,Alki,1/7/24,Sunday,12:19:00,High,,333,10.93,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
270,Alki,1/7/24,Sunday,18:06:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1554,,,47.5887069,-122.3800092,0.2
271,Alki,1/7/24,Sunday,19:54:00,Low,,-14,-0.47,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
272,Alki,1/7/24,Sunday,21:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1555,,,47.5887069,-122.3800092,0.2
306,Alki,1/8/24,Monday,0:06:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1556,,,47.5887069,-122.3800092,0.13
307,Alki,1/8/24,Monday,4:12:00,High,,330,10.83,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.13
308,Alki,1/8/24,Monday,4:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1557,,,47.5887069,-122.3800092,0.13
309,Alki,1/8/24,Monday,7:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1558,,,47.5887069,-122.3800092,0.13
310,Alki,1/8/24,Monday,8:33:00,Low,,278,9.11,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.13
311,Alki,1/8/24,Monday,9:42:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1559,,,47.5887069,-122.3800092,0.13
312,Alki,1/8/24,Monday,12:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1560,,,47.5887069,-122.3800092,0.13
313,Alki,1/8/24,Monday,13:01:00,High,,333,10.93,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.13
314,Alki,1/8/24,Monday,18:54:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1561,,,47.5887069,-122.3800092,0.13
315,Alki,1/8/24,Monday,20:37:00,Low,,-45,-1.49,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.13
316,Alki,1/8/24,Monday,22:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1562,,,47.5887069,-122.3800092,0.13
351,Alki,1/9/24,Tuesday,0:42:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1563,,,47.5887069,-122.3800092,0.06
352,Alki,1/9/24,Tuesday,4:50:00,High,,354,11.62,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.06
353,Alki,1/9/24,Tuesday,5:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1564,,,47.5887069,-122.3800092,0.06
354,Alki,1/9/24,Tuesday,7:12:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG1565,,,47.5887069,-122.3800092,0.06
355,Alki,1/9/24,Tuesday,8:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1566,,,47.5887069,-122.3800092,0.06
356,Alki,1/9/24,Tuesday,9:31:00,Low,,280,9.17,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.06
357,Alki,1/9/24,Tuesday,10:24:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1567,,,47.5887069,-122.3800092,0.06
358,Alki,1/9/24,Tuesday,13:36:00, slack,0,,,HARBOR ISLAND WEST,PUG1568,,,47.5887069,-122.3800092,0.06
359,Alki,1/9/24,Tuesday,13:47:00,High,,336,11.03,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.06
360,Alki,1/9/24,Tuesday,19:42:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1569,,,47.5887069,-122.3800092,0.06
361,Alki,1/9/24,Tuesday,21:20:00,Low,,-72,-2.36,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.06
362,Alki,1/9/24,Tuesday,22:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1570,,,47.5887069,-122.3800092,0.06
397,Alki,1/10/24,Wednesday,1:18:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1571,,,47.5887069,-122.3800092,0.02
398,Alki,1/10/24,Wednesday,5:24:00,High,,370,12.15,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.02
399,Alki,1/10/24,Wednesday,5:30:00, slack,0,,,HARBOR ISLAND WEST,PUG1572,,,47.5887069,-122.3800092,0.02
400,Alki,1/10/24,Wednesday,8:00:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG1573,,,47.5887069,-122.3800092,0.02
401,Alki,1/10/24,Wednesday,9:36:00, slack,0,,,HARBOR ISLAND WEST,PUG1574,,,47.5887069,-122.3800092,0.02
402,Alki,1/10/24,Wednesday,10:17:00,Low,,274,8.99,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.02
403,Alki,1/10/24,Wednesday,11:24:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1575,,,47.5887069,-122.3800092,0.02
404,Alki,1/10/24,Wednesday,14:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1576,,,47.5887069,-122.3800092,0.02
405,Alki,1/10/24,Wednesday,14:36:00,High,,341,11.19,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.02
406,Alki,1/10/24,Wednesday,20:30:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1577,,,47.5887069,-122.3800092,0.02
407,Alki,1/10/24,Wednesday,22:05:00,Low,,-91,-3,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.02
408,Alki,1/10/24,Wednesday,23:36:00, slack,0,,,HARBOR ISLAND WEST,PUG1578,,,47.5887069,-122.3800092,0.02
445,Alki,1/11/24,Thursday,1:54:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1579,,,47.5887069,-122.3800092,0
446,Alki,1/11/24,Thursday,5:57:00,High,,381,12.51,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0
447,Alki,1/11/24,Thursday,6:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1580,,,47.5887069,-122.3800092,0
448,Alki,1/11/24,Thursday,8:42:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1581,,,47.5887069,-122.3800092,0
449,Alki,1/11/24,Thursday,10:30:00, slack,0,,,HARBOR ISLAND WEST,PUG1582,,,47.5887069,-122.3800092,0
450,Alki,1/11/24,Thursday,11:01:00,Low,,263,8.62,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0
451,Alki,1/11/24,Thursday,12:24:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1583,,,47.5887069,-122.3800092,0
452,Alki,1/11/24,Thursday,15:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1584,,,47.5887069,-122.3800092,0
453,Alki,1/11/24,Thursday,15:27:00,High,,344,11.3,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0
454,Alki,1/11/24,Thursday,21:24:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1585,,,47.5887069,-122.3800092,0
455,Alki,1/11/24,Thursday,22:50:00,Low,,-101,-3.32,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0
491,Alki,1/12/24,Friday,0:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1586,,,47.5887069,-122.3800092,0.01
492,Alki,1/12/24,Friday,2:36:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1587,,,47.5887069,-122.3800092,0.01
493,Alki,1/12/24,Friday,6:31:00,High,,388,12.74,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.01
494,Alki,1/12/24,Friday,6:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1588,,,47.5887069,-122.3800092,0.01
495,Alki,1/12/24,Friday,9:36:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1589,,,47.5887069,-122.3800092,0.01
496,Alki,1/12/24,Friday,11:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1590,,,47.5887069,-122.3800092,0.01
497,Alki,1/12/24,Friday,11:45:00,Low,,245,8.04,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.01
498,Alki,1/12/24,Friday,13:18:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1591,,,47.5887069,-122.3800092,0.01
499,Alki,1/12/24,Friday,16:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1592,,,47.5887069,-122.3800092,0.01
500,Alki,1/12/24,Friday,16:21:00,High,,344,11.27,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.01
501,Alki,1/12/24,Friday,22:12:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1593,,,47.5887069,-122.3800092,0.01
502,Alki,1/12/24,Friday,23:35:00,Low,,-98,-3.22,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.01
536,Alki,1/13/24,Saturday,1:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1594,,,47.5887069,-122.3800092,0.05
537,Alki,1/13/24,Saturday,3:24:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1595,,,47.5887069,-122.3800092,0.05
538,Alki,1/13/24,Saturday,7:05:00,High,,393,12.89,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.05
539,Alki,1/13/24,Saturday,7:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1596,,,47.5887069,-122.3800092,0.05
540,Alki,1/13/24,Saturday,10:36:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1597,,,47.5887069,-122.3800092,0.05
541,Alki,1/13/24,Saturday,12:18:00, slack,0,,,HARBOR ISLAND WEST,PUG1598,,,47.5887069,-122.3800092,0.05
542,Alki,1/13/24,Saturday,12:32:00,Low,,221,7.26,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.05
543,Alki,1/13/24,Saturday,14:06:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1599,,,47.5887069,-122.3800092,0.05
544,Alki,1/13/24,Saturday,17:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1600,,,47.5887069,-122.3800092,0.05
545,Alki,1/13/24,Saturday,17:18:00,High,,335,10.98,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.05
546,Alki,1/13/24,Saturday,23:00:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1601,,,47.5887069,-122.3800092,0.05
582,Alki,1/14/24,Sunday,0:21:00,Low,,-79,-2.6,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.11
583,Alki,1/14/24,Sunday,2:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1602,,,47.5887069,-122.3800092,0.11
584,Alki,1/14/24,Sunday,4:18:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1603,,,47.5887069,-122.3800092,0.11
585,Alki,1/14/24,Sunday,7:39:00,High,,397,13.01,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.11
586,Alki,1/14/24,Sunday,8:42:00, slack,0,,,HARBOR ISLAND WEST,PUG1604,,,47.5887069,-122.3800092,0.11
587,Alki,1/14/24,Sunday,11:30:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1605,,,47.5887069,-122.3800092,0.11
588,Alki,1/14/24,Sunday,13:23:00,Low,,191,6.27,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.11
589,Alki,1/14/24,Sunday,13:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1606,,,47.5887069,-122.3800092,0.11
590,Alki,1/14/24,Sunday,14:54:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1607,,,47.5887069,-122.3800092,0.11
591,Alki,1/14/24,Sunday,17:54:00, slack,0,,,HARBOR ISLAND WEST,PUG1608,,,47.5887069,-122.3800092,0.11
592,Alki,1/14/24,Sunday,18:18:00,High,,318,10.44,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.11
593,Alki,1/14/24,Sunday,23:48:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG1609,,,47.5887069,-122.3800092,0.11
630,Alki,1/15/24,Monday,1:06:00,Low,,-44,-1.45,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
631,Alki,1/15/24,Monday,2:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1610,,,47.5887069,-122.3800092,0.2
632,Alki,1/15/24,Monday,5:12:00, flood,0.3,,,HARBOR ISLAND WEST,PUG1611,,,47.5887069,-122.3800092,0.2
633,Alki,1/15/24,Monday,8:14:00,High,,398,13.07,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
634,Alki,1/15/24,Monday,9:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1612,,,47.5887069,-122.3800092,0.2
635,Alki,1/15/24,Monday,12:24:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG1613,,,47.5887069,-122.3800092,0.2
636,Alki,1/15/24,Monday,14:17:00,Low,,156,5.12,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
637,Alki,1/15/24,Monday,15:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1614,,,47.5887069,-122.3800092,0.2
638,Alki,1/15/24,Monday,19:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1615,,,47.5887069,-122.3800092,0.2
639,Alki,1/15/24,Monday,19:25:00,High,,296,9.7,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.2
675,Alki,1/16/24,Tuesday,0:36:00, ebb,-0.5,,,HARBOR ISLAND WEST,PUG1616,,,47.5887069,-122.3800092,0.3
676,Alki,1/16/24,Tuesday,1:52:00,Low,,7,0.22,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.3
677,Alki,1/16/24,Tuesday,3:30:00, slack,0,,,HARBOR ISLAND WEST,PUG1617,,,47.5887069,-122.3800092,0.3
678,Alki,1/16/24,Tuesday,5:54:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1618,,,47.5887069,-122.3800092,0.3
679,Alki,1/16/24,Tuesday,8:50:00,High,,397,13.04,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.3
680,Alki,1/16/24,Tuesday,9:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1619,,,47.5887069,-122.3800092,0.3
681,Alki,1/16/24,Tuesday,13:24:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG1620,,,47.5887069,-122.3800092,0.3
682,Alki,1/16/24,Tuesday,15:14:00,Low,,118,3.87,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.3
683,Alki,1/16/24,Tuesday,18:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1621,,,47.5887069,-122.3800092,0.3
684,Alki,1/16/24,Tuesday,20:41:00,High,,272,8.94,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.3
685,Alki,1/16/24,Tuesday,21:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1622,,,47.5887069,-122.3800092,0.3
720,Alki,1/17/24,Wednesday,1:30:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG1623,,,47.5887069,-122.3800092,0.41
721,Alki,1/17/24,Wednesday,2:40:00,Low,,69,2.25,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.41
722,Alki,1/17/24,Wednesday,4:06:00, slack,0,,,HARBOR ISLAND WEST,PUG1624,,,47.5887069,-122.3800092,0.41
723,Alki,1/17/24,Wednesday,6:36:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1625,,,47.5887069,-122.3800092,0.41
724,Alki,1/17/24,Wednesday,9:26:00,High,,393,12.88,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.41
725,Alki,1/17/24,Wednesday,10:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1626,,,47.5887069,-122.3800092,0.41
726,Alki,1/17/24,Wednesday,14:24:00, ebb,-0.5,,,HARBOR ISLAND WEST,PUG1627,,,47.5887069,-122.3800092,0.41
727,Alki,1/17/24,Wednesday,16:13:00,Low,,80,2.62,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.41
728,Alki,1/17/24,Wednesday,19:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1628,,,47.5887069,-122.3800092,0.41
729,Alki,1/17/24,Wednesday,22:12:00,High,,258,8.46,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.41
730,Alki,1/17/24,Wednesday,23:12:00, slack,0,,,HARBOR ISLAND WEST,PUG1629,,,47.5887069,-122.3800092,0.41
766,Alki,1/18/24,Thursday,2:30:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG1630,,,47.5887069,-122.3800092,0.52
767,Alki,1/18/24,Thursday,3:32:00,Low,,135,4.42,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.52
768,Alki,1/18/24,Thursday,4:48:00, slack,0,,,HARBOR ISLAND WEST,PUG1631,,,47.5887069,-122.3800092,0.52
769,Alki,1/18/24,Thursday,7:24:00, flood,0.2,,,HARBOR ISLAND WEST,PUG1632,,,47.5887069,-122.3800092,0.52
770,Alki,1/18/24,Thursday,10:05:00,High,,383,12.57,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.52
771,Alki,1/18/24,Thursday,10:36:00, slack,0,,,HARBOR ISLAND WEST,PUG1633,,,47.5887069,-122.3800092,0.52
